event_id,asset_class,resolution,n_bars_raw,signal,baseline,peak,peak_ratio,time_to_peak_h,duration_above_h,recovery_h,episode_start,episode_end,n_obs
cr-2023-curve,crypto,minute,74880,d,130478.026115,57217.295794,2.28,0.0,0.05,0.27,2023-07-29 21:42:00+00:00,2023-07-29 22:00:00+00:00,23041
cr-2023-usdc,crypto,minute,13560,v,,,,,,,,,12120
cr-2023-usdc,crypto,minute,13560,sigma,,,,,,,,,11881
cr-2023-usdc,crypto,minute,13560,q,,,,,,,,,12121
cr-2024-etf,crypto,minute,181440,s,0.026689,5.730413,214.712,0.32,0.33,0.73,2024-02-28 17:12:00+00:00,2024-02-28 18:15:00+00:00,129460
cr-2024-etf,crypto,minute,181440,v,0.000273,0.028054,102.781,0.37,0.68,0.32,2024-02-28 17:09:00+00:00,2024-02-28 17:50:00+00:00,129601
cr-2024-etf,crypto,minute,181440,sigma,0.000494,0.003787,7.666,11.18,34.03,31.02,2024-02-28 08:25:00+00:00,2024-03-01 03:33:00+00:00,129601
cr-2024-etf,crypto,minute,181440,q,17.48442,1598.53715,91.426,1.03,6.0,5.08,2024-01-03 11:07:00+00:00,2024-01-03 17:14:00+00:00,129601
cr-2024-etf,crypto,minute,181440,d,13.324108,0.895477,14.879,1.08,1.4,0.4,2024-01-12 21:19:00+00:00,2024-01-12 22:48:00+00:00,129460
eq-1987-blackmon,equity,day,56,v,0.007219,0.228997,31.721,144.0,192.0,96.0,1987-10-13 00:00:00+00:00,1987-10-23 00:00:00+00:00,32
eq-1987-blackmon,equity,day,56,sigma,0.011309,0.09076,8.026,264.0,432.0,,1987-10-16 00:00:00+00:00,1987-11-13 00:00:00+00:00,32
eq-1987-blackmon,equity,day,56,q,178900000.0,608100000.0,3.399,24.0,96.0,72.0,1987-10-16 00:00:00+00:00,1987-10-23 00:00:00+00:00,32
eq-2008-lehman,equity,day,69,v,0.009183,0.109572,11.933,0.0,24.0,24.0,2008-10-13 00:00:00+00:00,2008-10-14 00:00:00+00:00,44
eq-2008-lehman,equity,day,69,sigma,0.012672,0.062736,4.951,840.0,792.0,,2008-09-15 00:00:00+00:00,2008-10-31 00:00:00+00:00,44
eq-2008-lehman,equity,day,69,q,4052910000.0,11456230000.0,2.827,48.0,72.0,240.0,2008-10-02 00:00:00+00:00,2008-10-20 00:00:00+00:00,44
eq-2010-flashcrash,equity,day,38,v,0.006442,0.043035,6.68,96.0,72.0,24.0,2010-05-06 00:00:00+00:00,2010-05-11 00:00:00+00:00,14
eq-2010-flashcrash,equity,day,38,sigma,0.007562,0.023145,3.061,96.0,264.0,,2010-05-04 00:00:00+00:00,2010-05-20 00:00:00+00:00,14
eq-2010-flashcrash,equity,day,38,q,5647760000.0,10617810000.0,1.88,,,,2010-05-06 00:00:00+00:00,2010-05-10 00:00:00+00:00,14
eq-2011-downgrade,equity,day,52,v,0.007574,0.068958,9.104,0.0,96.0,96.0,2011-08-08 00:00:00+00:00,2011-08-12 00:00:00+00:00,28
eq-2011-downgrade,equity,day,52,sigma,0.009835,0.039634,4.03,168.0,432.0,,2011-08-04 00:00:00+00:00,2011-08-31 00:00:00+00:00,28
eq-2011-downgrade,equity,day,52,q,3969605000.0,6446940000.0,1.624,,,,2011-08-03 00:00:00+00:00,2011-08-04 00:00:00+00:00,28
