event_id,signal,baseline_days,stress_multiple,baseline,peak,peak_ratio,time_to_peak_h,duration_above_h
fx-2022-ldi,s,60,3.0,0.980448,25.230916,25.734,0.18,0.95
fx-2022-ldi,v,60,3.0,8.7e-05,0.016055,185.157,0.08,0.22
fx-2022-ldi,sigma,60,3.0,0.000168,0.00173,10.313,3.73,19.1
fx-2022-ldi,q,60,3.0,105.0,895.0,8.524,0.03,0.4
fx-2022-ldi,illiq,60,3.0,1e-06,0.000399,463.048,0.05,0.13
fx-2013-goldcrash,s,60,3.0,2.012489,13.753712,6.834,0.02,0.03
fx-2013-goldcrash,v,60,3.0,7.4e-05,0.010387,139.863,0.05,0.23
fx-2013-goldcrash,sigma,60,3.0,0.000154,0.001566,10.174,83.33,77.75
fx-2013-goldcrash,q,60,3.0,36.0,453.0,12.583,2.02,3.92
fx-2013-goldcrash,illiq,60,3.0,0.0,0.0,149.301,0.23,0.08
