event_id,resolution,s_real_baseline,s_real_peak,s_real_ratio,cs_baseline,cs_peak,cs_ratio,roll_baseline,roll_peak,roll_ratio
cr-2023-curve,minute,12.870115,22.253097,1.729,12.322859,258.247285,20.957,5.834923,65.558824,11.236
cr-2024-etf,minute,0.026689,5.730413,214.712,4e-06,135.82633,38492887.321,2.6955,54.914733,20.373
fx-2013-goldcrash,minute,2.026559,13.753712,6.787,0.111342,42.960107,385.841,0.639619,27.07354,42.328
fx-2015-snb,minute,0.952164,34.705821,36.449,0.065225,430.466017,6599.75,0.130297,362.692484,2783.585
fx-2016-brexit,minute,0.781786,24.787134,31.706,0.043679,58.254143,1333.694,0.376251,45.078421,119.809
fx-2019-jpyflash,minute,0.261963,23.409567,89.362,0.057825,51.594022,892.245,0.312556,12.205311,39.05
fx-2022-ldi,minute,0.987384,25.230916,25.553,0.105281,81.439849,773.548,0.535572,19.003851,35.483
